bee_code,treatment,infection,diet,hive,susceptibility,spb,divided_10000
Hive1_EnI_1,Nektapoll-Control,Not-Infected,Supplemented,1,0,0,0
Hive1_EnI_10,Nektapoll-Control,Not-Infected,Supplemented,1,0,0,0
Hive1_EnI_11,Nektapoll-Control,Not-Infected,Supplemented,1,0,0,0
Hive1_EnI_12,Nektapoll-Control,Not-Infected,Supplemented,1,0,0,0
Hive1_EnI_13,Nektapoll-Control,Not-Infected,Supplemented,1,0,0,0
Hive1_EnI_14,Nektapoll-Control,Not-Infected,Supplemented,1,0,0,0
Hive1_EnI_15,Nektapoll-Control,Not-Infected,Supplemented,1,0,0,0
Hive1_EnI_16,Nektapoll-Control,Not-Infected,Supplemented,1,0,0,0
Hive1_EnI_17,Nektapoll-Control,Not-Infected,Supplemented,1,0,0,0
Hive1_EnI_18,Nektapoll-Control,Not-Infected,Supplemented,1,0,0,0
Hive1_EnI_19,Nektapoll-Control,Not-Infected,Supplemented,1,0,0,0
Hive1_EnI_2,Nektapoll-Control,Not-Infected,Supplemented,1,0,0,0
Hive1_EnI_20,Nektapoll-Control,Not-Infected,Supplemented,1,0,0,0
Hive1_EnI_3,Nektapoll-Control,Not-Infected,Supplemented,1,0,0,0
Hive1_EnI_4,Nektapoll-Control,Not-Infected,Supplemented,1,0,0,0
Hive1_EnI_5,Nektapoll-Control,Not-Infected,Supplemented,1,0,0,0
Hive1_EnI_6,Nektapoll-Control,Not-Infected,Supplemented,1,0,0,0
Hive1_EnI_7,Nektapoll-Control,Not-Infected,Supplemented,1,0,0,0
Hive1_EnI_8,Nektapoll-Control,Not-Infected,Supplemented,1,0,0,0
Hive1_EnI_9,Nektapoll-Control,Not-Infected,Supplemented,1,0,0,0
Hive2_EnI_1,Nektapoll-Control,Not-Infected,Supplemented,2,0,0,0
Hive2_EnI_10,Nektapoll-Control,Not-Infected,Supplemented,2,0,0,0
Hive2_EnI_11,Nektapoll-Control,Not-Infected,Supplemented,2,0,0,0
Hive2_EnI_12,Nektapoll-Control,Not-Infected,Supplemented,2,0,0,0
Hive2_EnI_13,Nektapoll-Control,Not-Infected,Supplemented,2,0,0,0
Hive2_EnI_14,Nektapoll-Control,Not-Infected,Supplemented,2,0,0,0
Hive2_EnI_15,Nektapoll-Control,Not-Infected,Supplemented,2,0,0,0
Hive2_EnI_16,Nektapoll-Control,Not-Infected,Supplemented,2,0,0,0
