bee_code,pot_code,hive,dose,treatment,day_0,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,dod7,event7,dod9,event9,dod17,event17
Hive1_C0_1,Hive1_C0,1,0,0 spores  ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0,9,0,17,0
Hive1_C0_2,Hive1_C0,1,0,0 spores  ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0,9,0,17,0
Hive1_C0_3,Hive1_C0,1,0,0 spores  ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0,9,0,17,0
Hive1_C0_4,Hive1_C0,1,0,0 spores  ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0,9,0,17,0
Hive1_C0_5,Hive1_C0,1,0,0 spores  ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0,9,0,17,0
Hive1_C0_6,Hive1_C0,1,0,0 spores  ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0,9,0,17,0
Hive1_C0_7,Hive1_C0,1,0,0 spores  ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0,9,0,17,0
Hive1_C0_8,Hive1_C0,1,0,0 spores  ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0,9,0,17,0
Hive1_C0_9,Hive1_C0,1,0,0 spores  ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0,9,0,17,0
Hive1_C0_10,Hive1_C0,1,0,0 spores  ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0,9,0,17,0
Hive1_C0_11,Hive1_C0,1,0,0 spores  ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0,9,0,17,0
Hive1_C0_12,Hive1_C0,1,0,0 spores  ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0,9,0,17,0
Hive1_C0_13,Hive1_C0,1,0,0 spores  ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0,9,0,17,0
Hive1_C0_14,Hive1_C0,1,0,0 spores  ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0,9,0,17,0
Hive1_C0_15,Hive1_C0,1,0,0 spores  ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0,9,0,17,0
Hive1_C0_16,Hive1_C0,1,0,0 spores  ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0,9,0,17,0
Hive1_C0_17,Hive1_C0,1,0,0 spores  ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0,9,0,17,0
Hive1_C0_18,Hive1_C0,1,0,0 spores  ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0,9,0,17,0
Hive1_C0_19,Hive1_C0,1,0,0 spores  ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0,9,0,17,0
Hive1_C0_20,Hive1_C0,1,0,0 spores  ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,7,0,9,0,17,1
Hive2_C0_1,Hive2_C0,2,0,0 spores  ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,7,0,9,0,15,1
Hive2_C0_2,Hive2_C0,2,0,0 spores  ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,7,0,9,0,15,1
Hive2_C0_3,Hive2_C0,2,0,0 spores  ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,7,0,9,0,15,1
Hive2_C0_4,Hive2_C0,2,0,0 spores  ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,7,0,9,0,15,1
