bee_code,pot_code,diet,hive,treatment ,day_0,day_1,day_2,day_3,day_4,day_5,day_6,day_7,event,dod
Hive1_Con.Scram_1,Hive1_Con.Scram,Scramble,1,Con.Scram,1,1,1,1,1,1,1,1,0,7
Hive1_Con.Scram_2,Hive1_Con.Scram,Scramble,1,Con.Scram,1,1,1,1,1,1,1,1,0,7
Hive1_Con.Scram_3,Hive1_Con.Scram,Scramble,1,Con.Scram,1,1,1,1,1,1,1,1,0,7
Hive1_Con.Scram_4,Hive1_Con.Scram,Scramble,1,Con.Scram,1,1,1,1,1,1,1,1,0,7
Hive1_Con.Scram_5,Hive1_Con.Scram,Scramble,1,Con.Scram,1,1,1,1,1,1,1,1,0,7
Hive1_Con.Scram_6,Hive1_Con.Scram,Scramble,1,Con.Scram,1,1,1,1,1,1,1,1,0,7
Hive1_Con.Scram_7,Hive1_Con.Scram,Scramble,1,Con.Scram,1,1,1,1,1,1,1,1,0,7
Hive1_Con.Scram_8,Hive1_Con.Scram,Scramble,1,Con.Scram,1,1,1,1,1,1,1,1,0,7
Hive1_Con.Scram_9,Hive1_Con.Scram,Scramble,1,Con.Scram,1,1,1,1,1,1,1,1,0,7
Hive1_Con.Scram_10,Hive1_Con.Scram,Scramble,1,Con.Scram,1,1,1,1,1,1,1,1,0,7
Hive2_Con.Scram_1,Hive2_Con.Scram,Scramble,2,Con.Scram,1,1,1,1,0,0,0,0,1,4
Hive2_Con.Scram_2,Hive2_Con.Scram,Scramble,2,Con.Scram,1,1,1,1,1,1,1,1,0,7
Hive2_Con.Scram_3,Hive2_Con.Scram,Scramble,2,Con.Scram,1,1,1,1,1,1,1,1,0,7
Hive2_Con.Scram_4,Hive2_Con.Scram,Scramble,2,Con.Scram,1,1,1,1,1,1,1,1,0,7
Hive2_Con.Scram_5,Hive2_Con.Scram,Scramble,2,Con.Scram,1,1,1,1,1,1,1,1,0,7
Hive2_Con.Scram_6,Hive2_Con.Scram,Scramble,2,Con.Scram,1,1,1,1,1,1,1,1,0,7
Hive2_Con.Scram_7,Hive2_Con.Scram,Scramble,2,Con.Scram,1,1,1,1,1,1,1,1,0,7
Hive2_Con.Scram_8,Hive2_Con.Scram,Scramble,2,Con.Scram,1,1,1,1,1,1,1,1,0,7
Hive2_Con.Scram_9,Hive2_Con.Scram,Scramble,2,Con.Scram,1,1,1,1,1,1,1,1,0,7
Hive2_Con.Scram_10,Hive2_Con.Scram,Scramble,2,Con.Scram,1,1,1,1,1,1,1,1,0,7
Hive3_Con.Scram_1,Hive3_Con.Scram,Scramble,3,Con.Scram,1,1,1,1,1,1,0,0,1,6
Hive3_Con.Scram_2,Hive3_Con.Scram,Scramble,3,Con.Scram,1,1,1,1,1,1,1,1,0,7
Hive3_Con.Scram_3,Hive3_Con.Scram,Scramble,3,Con.Scram,1,1,1,1,1,1,1,1,0,7
Hive3_Con.Scram_4,Hive3_Con.Scram,Scramble,3,Con.Scram,1,1,1,1,1,1,1,1,0,7
Hive3_Con.Scram_5,Hive3_Con.Scram,Scramble,3,Con.Scram,1,1,1,1,1,1,1,1,0,7
Hive3_Con.Scram_6,Hive3_Con.Scram,Scramble,3,Con.Scram,1,1,1,1,1,1,1,1,0,7
Hive3_Con.Scram_7,Hive3_Con.Scram,Scramble,3,Con.Scram,1,1,1,1,1,1,1,1,0,7
Hive3_Con.Scram_8,Hive3_Con.Scram,Scramble,3,Con.Scram,1,1,1,1,1,1,1,1,0,7
Hive3_Con.Scram_9,Hive3_Con.Scram,Scramble,3,Con.Scram,1,1,1,1,1,1,1,1,0,7
Hive3_Con.Scram_10,Hive3_Con.Scram,Scramble,3,Con.Scram,1,1,1,1,1,1,1,1,0,7
Hive1_Nos.Scram_1,Hive1_Nos.Scram,Scramble,1,Nos.Scram,1,1,1,1,1,1,1,1,0,7
Hive1_Nos.Scram_2,Hive1_Nos.Scram,Scramble,1,Nos.Scram,1,1,1,1,1,1,1,1,0,7
Hive1_Nos.Scram_3,Hive1_Nos.Scram,Scramble,1,Nos.Scram,1,1,1,1,1,1,1,1,0,7
Hive1_Nos.Scram_4,Hive1_Nos.Scram,Scramble,1,Nos.Scram,1,1,1,1,1,1,1,1,0,7
Hive1_Nos.Scram_5,Hive1_Nos.Scram,Scramble,1,Nos.Scram,1,1,1,1,1,1,1,1,0,7
Hive1_Nos.Scram_6,Hive1_Nos.Scram,Scramble,1,Nos.Scram,1,1,1,1,1,1,1,1,0,7
Hive1_Nos.Scram_7,Hive1_Nos.Scram,Scramble,1,Nos.Scram,1,1,1,1,1,1,1,1,0,7
Hive1_Nos.Scram_8,Hive1_Nos.Scram,Scramble,1,Nos.Scram,1,1,1,1,1,1,1,1,0,7
Hive1_Nos.Scram_9,Hive1_Nos.Scram,Scramble,1,Nos.Scram,1,1,1,1,1,1,1,1,0,7
Hive1_Nos.Scram_10,Hive1_Nos.Scram,Scramble,1,Nos.Scram,1,1,1,1,1,1,1,1,0,7
Hive2_Nos.Scram_1,Hive2_Nos.Scram,Scramble,2,Nos.Scram,1,1,1,1,1,1,1,1,0,7
Hive2_Nos.Scram_2,Hive2_Nos.Scram,Scramble,2,Nos.Scram,1,1,1,1,1,1,1,1,0,7
Hive2_Nos.Scram_3,Hive2_Nos.Scram,Scramble,2,Nos.Scram,1,1,1,1,1,1,1,1,0,7
Hive2_Nos.Scram_4,Hive2_Nos.Scram,Scramble,2,Nos.Scram,1,1,1,1,1,1,1,1,0,7
Hive2_Nos.Scram_5,Hive2_Nos.Scram,Scramble,2,Nos.Scram,1,1,1,1,1,1,1,1,0,7
Hive2_Nos.Scram_6,Hive2_Nos.Scram,Scramble,2,Nos.Scram,1,1,1,1,1,1,1,1,0,7
Hive2_Nos.Scram_7,Hive2_Nos.Scram,Scramble,2,Nos.Scram,1,1,1,1,1,1,1,1,0,7
Hive2_Nos.Scram_8,Hive2_Nos.Scram,Scramble,2,Nos.Scram,1,1,1,1,1,1,1,1,0,7
Hive2_Nos.Scram_9,Hive2_Nos.Scram,Scramble,2,Nos.Scram,1,1,1,1,1,1,1,1,0,7
Hive2_Nos.Scram_10,Hive2_Nos.Scram,Scramble,2,Nos.Scram,1,1,1,1,1,1,1,1,0,7
Hive3_Nos.Scram_1,Hive3_Nos.Scram,Scramble,3,Nos.Scram,1,1,1,1,1,1,1,0,1,7
Hive3_Nos.Scram_2,Hive3_Nos.Scram,Scramble,3,Nos.Scram,1,1,1,1,1,1,1,0,1,7
Hive3_Nos.Scram_3,Hive3_Nos.Scram,Scramble,3,Nos.Scram,1,1,1,1,1,1,1,0,1,7
Hive3_Nos.Scram_4,Hive3_Nos.Scram,Scramble,3,Nos.Scram,1,1,1,1,1,1,1,1,0,7
Hive3_Nos.Scram_5,Hive3_Nos.Scram,Scramble,3,Nos.Scram,1,1,1,1,1,1,1,1,0,7
