StartDate,Country,HiveNumber,Experience,Training,Threat_rank-CC,Threat_rank-Nosema,Threat_rank-Other.disease.or.pest,Threat_rank-Flowerdecline,Threat_rank-Pesticides,Threat_rank-LandUseChannge,Threat_rank-AsianHornet,Threat_rank-Varroa,If/WhenPollen,PollenWeeks,HowMuchPollen,If/WhenSugar,SugarWeeks,HowMuchSugar,Pest_rank-Nosema,Pest_rank-Varroa,Pest-rank-Foulbrood,Pest_rank-DWV,Pest_rank-Chalkbrood,Pest_rank-SHB,Colonyloss5
5/15/20 9:07,Germany,2,Less than 1,General hive management,1,6,5,3,,2,7,4,I don't supplement pollen,,,"Autumn,Winter",2+ to 4,501-1000g,3,7,4,3,3,,
5/15/20 11:53,USA,7,Between 1 and 3,I haven't used educational programmes,7,3,2,5,,4,6,1,I don't supplement pollen,,,Winter,8+ to 10,251-500g,4,10,5,7,5,,30
5/15/20 13:08,Germany,14,Between 5 and 10,I haven't used educational programmes,5,6,2,3,,4,7,1,I don't supplement pollen,,,Autumn,0 to 2,1500g+,1,8,3,5,5,,10
5/15/20 13:41,USA,2,Between 3 and 5,"Disease management,Making a business of beekeeping,Queen rearing,General hive management",5,6,2,4,,3,7,1,I don't supplement pollen,,,Winter,6+ to 8,0-250g,4,9,8,8,4,,22
5/15/20 14:01,Canada,3,Between 5 and 10,"Disease management,Chemical treatments,General hive management,Other",3,7,4,5,,2,6,1,I don't supplement pollen,,,Autumn,2+ to 4,251-500g,1,5,1,1,4,,40
5/15/20 15:18,USA,3,Between 1 and 3,"Making a business of beekeeping,Food supplementation,Queen rearing,General hive management",5,7,2,4,,6,3,1,I don't supplement pollen,,,"Autumn,Winter,Spring",8+ to 10,501-1000g,3,9,4,3,4,,100
5/15/20 15:34,USA,2,Less than 1,General hive management,4,5,3,6,,1,7,2,I don't supplement pollen,,,I don't supplement sugars/candy,,,1,4,2,1,1,,0
5/15/20 15:55,Australia,4,Between 3 and 5,I haven't used educational programmes,3,5,4,2,,1,7,6,I don't supplement pollen,,,I don't supplement sugars/candy,,,2,0,10,0,5,,20
5/15/20 16:14,USA,16,Between 10 and 15,Other,7,4,2,1,,3,6,5,"Autumn,Spring,Summer",0 to 2,0-250g,Winter,12+,0-250g,1,1,1,1,1,,30
5/15/20 18:04,USA,18,15+,"Disease management,Chemical treatments,Food supplementation,Queen rearing,General hive management,Other",7,5,2,3,,4,6,1,"Autumn,Summer",10+ to 12,0-250g,Autumn,6+ to 8,251-500g,2,10,5,4,3,,30
5/15/20 19:53,USA,11,Between 3 and 5,"Disease management,Queen rearing,General hive management,Other",7,6,1,3,,2,5,4,I don't supplement pollen,,,Spring,4+ to 6,0-250g,0,3,2,3,1,,20
5/16/20 6:20,USA,3,Between 1 and 3,I haven't used educational programmes,4,5,3,6,2,7,8,1,I don't supplement pollen,,,"Autumn,Spring",0 to 2,1500g+,1,8,4,8,3,6,0
5/16/20 17:45,Australia,400,Between 10 and 15,"Queen rearing,General hive management",3,5,4,2,6,7,8,1,I don't supplement pollen,,,I don't supplement sugars/candy,,,3,10,8,0,5,3,5
5/16/20 18:51,USA,10,15+,"Disease management,Queen rearing,General hive management",8,6,2,4,5,3,7,1,I don't supplement pollen,,,"Autumn,Winter",6+ to 8,1500g+,4,9,4,6,0,0,30
5/17/20 1:34,UK,40,Between 3 and 5,I haven't used educational programmes,4,6,8,2,5,1,7,3,I don't supplement pollen,,,"Autumn,Winter",6+ to 8,501-1000g,2,7,1,4,1,0,13
5/17/20 1:47,UK,2,Between 3 and 5,"Disease management,Chemical treatments,Food supplementation,General hive management",5,4,6,2,7,3,8,1,Spring,2+ to 4,251-500g,Autumn,2+ to 4,1500g+,6,10,7,5,5,2,0
5/17/20 2:25,UK,4,Between 3 and 5,Disease management,5,3,2,7,4,6,8,1,I don't supplement pollen,,,Winter,2+ to 4,0-250g,3,8,2,3,3,1,0
5/17/20 2:44,UK,12,Between 5 and 10,General hive management,2,6,7,1,3,8,4,5,I don't supplement pollen,,,Autumn,8+ to 10,501-1000g,4,5,9,5,2,2,5
